,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
14,"Denver, Colorado, United States",within an hour,100.0,88.0,t,Highland,3,"['email', 'phone']",t,"Denver, Colorado, United States",Entire cottage,Entire home/apt,1.0,29,31,t,0,631,7,1,4.91,4.88,4.94,4.98,4.97,4.84,4.85,f,110.0,110.0,0.0,1.0,1.0,4.36,0,0,0,0.0,0.0,1 bath,110.0,1.0,0.0,0.0
15,"Denver, Colorado, United States",within a few hours,100.0,72.0,f,Capitol Hill,0,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,5,1124,t,5,124,8,2,4.73,4.8,4.31,4.9,4.98,4.86,4.71,f,150.32876712328766,150.32876712328766,3.616410986170435,2.0,3.0,0.93,26,56,244,100.27397260273973,66.84931506849315,1 bath,50.10958904109589,1.5,0.0,2.4056679605471274
16,"Denver, Colorado, United States",within an hour,100.0,100.0,t,North Park Hill,4,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,1,1125,t,0,247,42,4,4.91,4.89,4.94,4.97,4.96,4.92,4.92,f,90.0,90.0,0.0,1.0,2.0,1.94,19,30,30,7.397260273972603,8.21917808219178,1 private bath,45.0,2.0,0.0,0.0
17,"Denver, Colorado, United States",within a few hours,100.0,43.0,f,Ballpark,8,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire condo,Entire home/apt,1.0,30,1125,t,0,11,0,0,4.7,4.4,4.7,4.7,4.9,4.9,4.6,f,80.0,80.0,0.0,1.0,2.0,0.08,19,49,324,71.01369863013699,88.76712328767124,1 bath,40.0,2.0,0.0,0.0
18,"Denver, Colorado, United States",within a few hours,100.0,90.0,t,South Park Hill,1,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in condo,Private room,1.0,29,60,t,0,127,5,0,4.74,4.79,4.73,4.82,4.85,4.78,4.76,f,46.00547945205479,46.00547945205479,0.07392157070222127,1.0,1.0,0.96,10,15,72,9.07945205479452,19.726027397260275,1 shared bath,46.00547945205479,1.0,0.0,0.1606799267884157
19,"Denver, Colorado, United States",within a day,67.0,71.0,f,Highland,1,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in condo,Private room,1.0,30,180,t,0,12,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,80.53424657534246,80.53424657534246,6.283333509688814,1.0,4.0,0.14,25,55,153,36.465753424657535,41.917808219178085,1.5 baths,20.133561643835616,4.0,0.0,7.80206406203918
20,"Portland, Oregon, United States",within an hour,100.0,79.0,t,LoDo,2,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire condo,Entire home/apt,2.0,30,365,t,23,3,2,0,4.67,5.0,5.0,5.0,4.67,5.0,4.33,f,165.0,165.0,0.0,3.0,4.0,0.06,28,28,292,132.0,80.0,1 bath,41.25,1.3333333333333333,0.0,0.0
21,"Denver, Colorado, United States",within an hour,100.0,99.0,t,Five Points,1,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,2,7,t,2,223,33,8,4.83,4.91,4.83,4.95,4.92,4.78,4.83,f,81.91232876712328,81.91232876712328,3.459814246009458,1.0,1.0,2.28,2,2,2,0.5178082191780822,0.547945205479452,1 shared bath,81.91232876712328,1.0,0.0,4.223801591388896
22,"Englewood, Colorado, United States",within an hour,83.0,73.0,f,Washington Park West,2,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire townhouse,Entire home/apt,3.0,29,500,t,27,144,1,0,4.8,4.84,4.65,4.8,4.7,4.87,4.73,f,217.0958904109589,217.0958904109589,38.73414754917917,3.0,6.0,1.15,32,54,329,195.3972602739726,90.13698630136986,2.5 baths,36.182648401826484,2.0,0.0,17.841953376388688
23,"Denver, Colorado, United States",within a day,90.0,71.0,t,Baker,1,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Private room in townhouse,Private room,1.0,4,1125,t,0,113,11,0,4.97,4.99,4.91,4.94,4.98,4.93,4.95,f,75.44109589041096,75.44109589041096,2.559180608931581,1.0,4.0,1.34,1,6,274,56.57260273972603,75.06849315068493,1 private bath,18.86027397260274,4.0,0.0,3.3922898106479775
24,"Denver, Colorado, United States",within a few hours,100.0,90.0,t,City Park West,1,"['email', 'phone']",f,"Denver, Colorado, United States",Private room in home,Private room,1.0,3,30,t,3,355,29,1,4.87,4.83,4.83,4.91,4.91,4.88,4.85,f,55.0,55.0,0.0,1.0,2.0,2.92,3,7,12,1.8082191780821917,3.287671232876712,1.5 shared baths,27.5,2.0,0.0,0.0
25,"Denver, Colorado, United States",within an hour,100.0,100.0,t,Clayton,6,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,2.0,2,60,t,4,68,20,1,4.88,4.83,4.73,5.0,4.99,4.71,4.8,f,171.09315068493152,171.09315068493152,27.32169130188254,2.0,4.0,0.56,29,52,52,24.832876712328765,14.246575342465754,2 baths,42.77328767123288,2.0,0.0,15.968898341345941
26,"Denver, Colorado, United States",response not available,97.30020366598778,100.0,t,City Park West,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire rental unit,Entire home/apt,1.0,60,1125,t,0,208,3,0,4.8,4.76,4.69,4.95,4.92,4.76,4.78,f,132.0,132.0,0.0,1.0,2.0,1.72,13,43,223,80.64657534246575,61.09589041095891,1 bath,66.0,2.0,0.0,0.0
