,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,17,9,2,0,4.67,5.0,5.0,5.0,5.0,4.89,4.78,f,506.92602739726027,506.92602739726027,17.53512979015243,2.0,4.0,0.07,33,38,193,267.7041095890411,52.87671232876713,1 private bath,126.73150684931507,2.0,0.0,3.459110174355036
14,"Cincinnati, OH",response not available,93.70717131474103,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,3.0,2,90,t,0,14,6,0,4.92,4.77,4.92,4.77,4.92,4.46,4.85,t,402.0,402.0,0.0,7.0,8.0,0.11,0,0,85,93.61643835616438,23.28767123287671,2 baths,50.25,1.1428571428571428,0.0,0.0
15,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,17,10,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.89,f,507.15342465753423,507.15342465753423,16.6062519852536,2.0,4.0,0.09,34,48,235,326.1890410958904,64.38356164383562,1 private bath,126.78835616438356,2.0,0.0,3.2744039925328936
16,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,23,17,2,0,4.94,4.94,5.0,5.0,5.0,5.0,4.94,f,452.7945205479452,452.7945205479452,18.24283609514214,2.0,4.0,0.13,39,63,239,296.2054794520548,65.47945205479452,1 private bath,113.1986301369863,2.0,0.0,4.028943652645297
17,"Placencia, Belize",within an hour,100.0,99.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Placencia, Stann Creek, Belize",Entire home,Entire home/apt,1.0,1,365,t,23,127,20,0,4.77,4.81,4.62,4.86,4.82,4.92,4.75,f,223.02739726027397,223.02739726027397,39.24632431964478,2.0,5.0,1.02,38,51,245,142.97808219178083,67.12328767123287,1 bath,44.605479452054794,2.5,0.0,17.59708663677949
18,"Placencia, Belize",within an hour,100.0,99.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Placencia, Stann Creek, Belize",Entire bungalow,Entire home/apt,1.0,1,365,t,30,172,19,1,4.83,4.84,4.82,4.87,4.81,4.88,4.84,f,193.52328767123288,193.52328767123288,21.762393971236907,4.0,4.0,1.34,44,62,293,154.35616438356163,80.27397260273973,1 bath,48.38082191780822,1.0,0.0,11.245361854438913
19,host location not available,within a few hours,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,30,7,2,1,4.86,5.0,4.86,5.0,5.0,4.83,4.83,f,210.0,210.0,0.0,1.0,2.0,0.07,60,90,365,210.0,100.0,1 private bath,105.0,2.0,0.0,0.0
20,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,1125,t,23,101,2,0,4.86,4.95,4.96,4.99,4.98,4.89,4.84,f,276.4027397260274,276.4027397260274,9.452279982569596,1.0,2.0,0.8,43,66,278,209.74794520547945,76.16438356164383,1 private bath,138.2013698630137,2.0,0.0,3.419749019831993
21,host location not available,response not available,93.70717131474103,94.23468251021166,f,host neighbourhood not available,5,"['email', 'phone']",t,"Unitedville‎, Cayo, Belize",Private room in cabin,Private room,1.0,1,60,t,0,21,0,0,4.81,4.81,4.71,4.71,4.76,4.76,4.71,t,101.0,101.0,0.0,2.0,3.0,0.2,0,0,0,0.0,0.0,1 bath,33.666666666666664,1.5,0.0,0.0
22,host location not available,response not available,93.70717131474103,94.23468251021166,f,host neighbourhood not available,2,"['email', 'phone']",f,"Burrell Boom, Belize",Treehouse,Entire home/apt,2.0,1,365,t,6,152,14,1,4.64,4.63,4.75,4.84,4.81,4.63,4.42,t,213.27671232876713,213.27671232876713,28.252931971491044,2.0,3.0,1.29,28,44,249,146.24931506849316,68.21917808219177,1 bath,71.09223744292238,1.5,0.0,13.247077781253026
