,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire cottage,Entire home/apt,1.0,1,1125,t,5,642,88,6,4.98,4.97,4.98,4.99,4.99,4.91,4.91,f,167.2164383561644,167.2164383561644,22.66477524111794,1.0,3.0,6.62,19,45,316,144.47671232876712,86.57534246575342,1 bath,55.73881278538813,3.0,0.0,13.554155000504714
14,"Asheville, NC",within a day,100.0,25.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire rental unit,Entire home/apt,1.0,30,180,t,0,134,3,0,4.76,4.76,4.94,4.98,4.95,4.95,4.82,f,78.67123287671232,78.67123287671232,10.065792897862185,1.0,2.0,1.07,0,7,97,19.931506849315067,26.575342465753426,1 bath,39.33561643835616,2.0,0.0,12.794756774228444
15,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Asheville, North Carolina, United States",Entire rental unit,Entire home/apt,1.0,30,1125,t,17,117,22,1,4.81,4.84,4.77,4.96,4.95,4.96,4.72,t,175.4054794520548,175.4054794520548,15.460334663748364,2.0,2.0,2.14,41,71,161,75.7068493150685,44.109589041095894,1 bath,87.7027397260274,1.0,0.0,8.814054562060749
16,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,8,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire home,Entire home/apt,1.0,1,1125,t,14,636,91,2,4.72,4.86,4.7,4.94,4.9,4.91,4.75,t,91.40547945205479,91.40547945205479,26.133742505918434,1.0,4.0,7.93,25,55,328,81.42465753424658,89.86301369863014,1 bath,22.851369863013698,4.0,0.0,28.59100205215427
17,"Asheville, NC",within a few hours,100.0,96.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Asheville, North Carolina, United States",Private room in home,Private room,1.0,2,7,t,3,237,27,0,4.64,4.84,4.77,4.91,4.8,4.81,4.8,f,55.24657534246575,55.24657534246575,3.534682252213857,1.0,2.0,2.07,19,49,287,43.38082191780822,78.63013698630137,1 private bath,27.623287671232877,2.0,0.0,6.398011515289154
18,"Asheville, NC",within an hour,100.0,93.0,t,South French Broad,3,"['email', 'phone', 'work_email']",t,"Asheville, North Carolina, United States",Private room in home,Private room,1.0,1,5,t,7,1093,32,4,4.67,4.77,4.71,4.9,4.91,4.75,4.75,t,76.26027397260275,76.26027397260275,8.356131191895045,1.0,2.0,9.02,18,18,18,3.1095890410958904,4.931506849315069,1 private bath,38.13013698630137,2.0,0.0,10.957384174750102
19,"Asheville, NC",response not available,99.02755326965466,100.0,t,host neighbourhood not available,11,"['email', 'phone']",t,"Asheville, North Carolina, United States",Private room in bed and breakfast,Private room,1.0,2,365,t,2,13,1,0,4.77,4.92,4.92,4.69,4.77,4.77,4.46,t,244.23287671232876,244.23287671232876,8.533258379418921,2.0,2.0,0.13,11,31,292,197.8849315068493,80.0,1 private bath,122.11643835616438,1.0,0.0,3.49390241571362
20,"Asheville, NC",response not available,99.02755326965466,95.76526315789474,f,host neighbourhood not available,2,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire home,Entire home/apt,2.0,1,20,t,0,100,0,0,4.87,4.85,4.75,4.95,4.95,4.91,4.87,f,99.96986301369863,99.96986301369863,11.296292848719903,4.0,5.0,0.87,0,0,0,0.0,0.0,2.5 baths,19.993972602739724,1.25,0.0,11.299698237229752
21,"Asheville, NC",within a few hours,100.0,100.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire home,Entire home/apt,2.0,30,180,t,0,314,1,1,4.87,4.92,4.9,4.97,4.93,4.84,4.91,t,73.0,73.0,0.0,2.0,4.0,2.65,0,14,289,57.8,79.17808219178082,1 bath,18.25,2.0,0.0,0.0
22,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",f,neighbourhood not available,Entire home,Entire home/apt,2.0,2,1125,t,9,498,56,4,4.98,4.96,5.0,4.99,4.99,4.81,4.87,f,289.5643835616438,289.5643835616438,22.895350611700568,2.0,4.0,4.22,18,37,312,248.14246575342466,85.47945205479452,2 baths,72.39109589041095,2.0,0.0,7.906825532231418
