,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
15,Singapore,response not available,88.43647363872083,72.99303621169916,f,Tampines,1,"['email', 'phone']",f,"Singapore, Singapore",Private room in condo,Private room,1.0,92,150,t,30,80,0,0,4.82,4.87,4.79,4.93,4.92,4.59,4.64,f,82.56438356164384,82.56438356164384,4.068012780749886,1.0,2.0,0.81,60,90,91,20.586301369863012,24.93150684931507,2 baths,41.28219178082192,2.0,0.0,4.927079456376786
16,Singapore,response not available,88.43647363872083,72.99303621169916,f,Bugis/Kampong Glam,1,['email'],f,neighbourhood not available,Private room in rental unit,Private room,1.0,180,730,t,30,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,170.0,170.0,0.0,1.0,2.0,1.0008237547892704,60,90,365,170.0,100.0,2 baths,85.0,2.0,0.0,0.0
17,Singapore,response not available,88.43647363872083,72.99303621169916,f,Bukit Timah,3,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,1.0,92,1125,t,30,28,0,0,4.5,4.28,4.48,4.8,4.8,4.88,4.44,f,100.0,100.0,0.0,1.0,2.0,0.23,60,90,91,24.931506849315067,24.93150684931507,1 bath,50.0,2.0,0.0,0.0
18,Singapore,a few days or more,0.0,72.99303621169916,f,Serangoon,2,['phone'],f,neighbourhood not available,Private room in rental unit,Private room,1.0,180,365,t,30,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,26.0,26.0,0.0,1.0,1.0,1.0008237547892704,60,90,365,26.0,100.0,1 bath,26.0,1.0,0.0,0.0
19,Singapore,within a day,57.0,86.0,f,Chinatown,6,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Private room in condo,Private room,1.0,92,1123,t,23,72,0,0,4.63,4.67,4.57,4.7,4.82,4.91,4.5,t,147.26575342465753,147.26575342465753,39.86023735193027,1.0,4.0,0.6,53,83,358,144.98356164383563,98.08219178082192,1 shared bath,36.81643835616438,4.0,0.0,27.06687496921891
20,Singapore,within a day,57.0,86.0,f,Chinatown,6,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Private room in condo,Private room,1.0,92,1124,t,30,26,0,0,4.56,4.44,4.32,4.76,4.88,4.96,4.28,t,119.01369863013699,119.01369863013699,0.11639628748321454,1.0,4.0,0.22,60,90,365,119.01369863013699,100.0,1 shared bath,29.753424657534246,4.0,0.0,0.09780074800039897
21,Singapore,response not available,88.43647363872083,72.99303621169916,f,Marine Parade,5,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,0,70,0,0,4.73,4.74,4.75,4.84,4.77,4.74,4.66,f,250.0,250.0,0.0,1.0,2.0,0.59,0,0,0,0.0,0.0,1 private bath,125.0,2.0,0.0,0.0
22,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,22,2,0,0,4.0,3.0,3.0,4.0,4.5,4.0,3.0,t,69.0,69.0,0.0,1.0,1.0,0.02,52,82,357,67.4876712328767,97.80821917808218,2 shared baths,69.0,1.0,0.0,0.0
23,Singapore,within an hour,99.0,82.0,f,Bukit Merah,57,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,60,999,t,29,15,1,0,4.2,3.87,4.27,4.27,4.47,4.27,3.93,f,54.6986301369863,54.6986301369863,9.040028401666412,1.0,1.0,0.13,59,89,304,45.46849315068493,83.28767123287672,1 bath,54.6986301369863,1.0,0.0,16.526974037607012
24,Singapore,response not available,88.43647363872083,72.99303621169916,f,Marine Parade,5,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Entire rental unit,Entire home/apt,2.0,92,365,t,0,40,0,0,4.78,4.83,4.83,4.7,4.78,4.78,4.83,f,300.0,300.0,0.0,2.0,4.0,0.34,0,0,0,0.0,0.0,2 baths,75.0,2.0,0.0,0.0
25,Singapore,response not available,88.43647363872083,72.99303621169916,f,Marine Parade,5,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,0,71,0,0,4.54,4.81,4.76,4.66,4.76,4.78,4.55,f,150.0,150.0,0.0,1.0,2.0,0.6,0,0,0,0.0,0.0,Private half-bath,75.0,2.0,0.0,0.0
26,Singapore,response not available,88.43647363872083,72.99303621169916,f,Katong,1,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,92,1125,f,0,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,284.0,284.0,0.0,1.0,1.0,1.0008237547892704,0,0,0,0.0,0.0,1 bath,284.0,1.0,0.0,0.0
27,"Barcelona, Spain",within a few hours,100.0,72.99303621169916,f,host neighbourhood not available,3,"['email', 'phone']",t,"Singapore, Singapore",Private room in condo,Private room,1.0,92,1125,t,30,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,150.0,150.0,0.0,2.0,2.0,0.03,60,90,365,150.0,100.0,1 private bath,75.0,1.0,0.0,0.0
28,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,21,2,0,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,t,57.0,57.0,0.0,1.0,1.0,0.03,51,81,356,55.59452054794521,97.53424657534246,1 private bath,57.0,1.0,0.0,0.0
29,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,1124,t,0,3,0,0,4.0,4.0,3.67,4.67,4.67,4.67,4.33,t,79.0,79.0,0.0,1.0,1.0,0.03,0,0,265,57.35616438356164,72.6027397260274,1 private bath,79.0,1.0,0.0,0.0
30,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,0,2,0,0,4.5,4.5,4.0,4.5,4.5,5.0,4.0,t,57.0,57.0,0.0,1.0,1.0,0.03,21,51,326,50.90958904109589,89.31506849315069,1 private bath,57.0,1.0,0.0,0.0
31,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,22,2,0,0,5.0,4.5,4.0,5.0,5.0,5.0,4.0,t,57.0,57.0,0.0,1.0,1.0,0.04,52,82,357,55.75068493150685,97.80821917808218,1 private bath,57.0,1.0,0.0,0.0
32,Singapore,within a few hours,100.0,0.0,f,Novena,1,"['email', 'phone']",t,"Singapore, Singapore",Private room in condo,Private room,1.0,92,1125,t,0,247,0,0,4.87,4.92,4.91,4.94,4.92,4.79,4.81,f,90.0,90.0,0.0,1.0,1.0,2.14,24,54,145,35.75342465753425,39.726027397260275,1 private bath,90.0,1.0,0.0,0.0
33,Singapore,within an hour,100.0,84.0,f,Central Area,1,"['email', 'phone']",t,"Singapore, Singapore",Entire condo,Entire home/apt,1.0,92,1125,t,5,258,7,0,4.84,4.89,4.78,4.93,4.95,4.84,4.73,f,171.8082191780822,171.8082191780822,14.0061383072387,1.0,2.0,2.38,30,60,335,157.83561643835617,91.78082191780823,1 bath,85.9041095890411,2.0,0.0,8.152193401598032
34,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,22,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,69.0,69.0,0.0,1.0,1.0,0.01,52,82,357,67.4876712328767,97.80821917808218,1 private bath,69.0,1.0,0.0,0.0
