,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,"Antwerp, Flanders, Belgium",within an hour,94.0,97.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,1,1125,t,5,95,21,2,4.62,4.66,4.47,4.71,4.85,4.9,4.55,f,236.1068493150685,236.1068493150685,24.967607194161737,3.0,6.0,1.11,17,38,292,185.91232876712328,80.0,1.5 baths,39.351141552511415,2.0,0.0,10.574706861148346
14,"Antwerp, Flanders, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Room in boutique hotel,Hotel room,1.0,1,1125,t,13,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,175.0,175.0,0.0,1.0,2.0,0.09,34,59,334,160.13698630136986,91.5068493150685,1 private bath,87.5,2.0,0.0,0.0
15,"Antwerp, Flanders, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,3,366,t,9,11,6,0,5.0,5.0,5.0,5.0,5.0,5.0,4.82,f,204.67123287671234,204.67123287671234,14.307316573759502,2.0,3.0,0.11,13,40,278,155.24657534246575,76.16438356164383,1.5 baths,68.22374429223744,1.5,0.0,6.990389598316335
16,"Antwerp, Flanders, Belgium",within a few hours,100.0,92.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,62,t,1,64,6,0,4.84,4.83,4.83,4.78,4.9,4.62,4.81,f,117.64383561643835,117.64383561643835,7.840038585864786,1.0,2.0,0.61,27,57,144,47.23287671232877,39.45205479452055,1.5 baths,58.821917808219176,2.0,0.0,6.6642153792283345
17,"Antwerp, Flanders, Belgium",within a few hours,80.0,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire home,Entire home/apt,5.0,1,30,t,0,48,0,0,4.63,4.73,4.42,4.84,4.89,4.2,4.52,f,317.2054794520548,317.2054794520548,36.16011360666565,5.0,10.0,0.5,0,0,0,0.0,0.0,2 baths,31.72054794520548,2.0,0.0,11.399586687193782
18,"Antwerpen, Vlaams Gewest, Belgium",within an hour,100.0,93.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,8,270,38,3,4.63,4.73,4.65,4.88,4.9,4.54,4.61,t,77.0,77.0,0.0,5.0,5.0,2.42,29,49,315,66.45205479452055,86.3013698630137,1 bath,15.4,1.0,0.0,0.0
19,"Antwerpen, Vlaams Gewest, Belgium",within an hour,100.0,93.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,9,25,2,0,4.56,4.79,4.54,4.92,4.88,4.67,4.67,t,77.0,77.0,0.0,5.0,5.0,0.24,30,50,316,66.66301369863014,86.57534246575342,1 bath,15.4,1.0,0.0,0.0
20,"Antwerpen, Vlaams Gewest, Belgium",within a few hours,70.0,82.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,2,1125,t,11,36,6,0,4.51,4.65,4.62,4.88,4.76,4.76,4.38,f,82.57534246575342,82.57534246575342,2.5748029275871667,2.0,2.0,0.33,16,26,301,68.28493150684932,82.46575342465754,1 bath,41.28767123287671,1.0,0.0,3.118125642233961
21,"Antwerpen, Vlaams Gewest, Belgium",within a few hours,70.0,82.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,2,1125,t,0,17,1,0,4.56,4.5,4.79,4.6,4.27,4.8,4.47,f,80.0,80.0,0.0,2.0,2.0,0.16,0,0,265,58.082191780821915,72.6027397260274,1 bath,40.0,1.0,0.0,0.0
22,"Antwerpen, Vlaams Gewest, Belgium",within a few hours,70.0,82.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,1125,t,0,184,3,0,4.33,4.27,4.53,4.55,4.39,4.64,4.3,f,109.0,109.0,0.0,1.0,2.0,1.72,25,55,330,98.54794520547945,90.41095890410958,1 bath,54.5,2.0,0.0,0.0
